id,text,human_or_ai,source_model,prompt,domain,language,edit_level,word_count,generation_date,version
0284a109-14ea-4944-a60c-7380166981a1,"موٹیویشن! یہ ہماری زندگی کا ایک اہم جزو ہے جو ہم کو آگے بڑھنے اور اپنے مقاصد کو حاصل کرنے کی طاقت دیتا ہے۔ کیوں کہ موٹیویشن ہمارے لئے ایک ساتھ کام کرنے والے ٹیم کی طرح ہوتا ہے۔ ہار نہ ماننا، مزاق بنانا، اور ناکamura ناکamura سے سیکھنا ہماری موٹیویشن میں اضافہ کرنے کے لئے یہ تین تیز گڑھے ہیں۔

ہم ہر دن بھر کچھ نئی چیझ کو اپنے لئے کبھی بھی نہیں دیکھتے لیکن جب ہم اپنا مقصد حاصل کر جاتے ہیں تو ہم کو احساس ہوتا ہے کہ ہماری موٹیویشن کا کوئی درجہ تھا۔

تویٹ: "" موٹیویشن آپکی زندگی کو بھرپور بناتی ہے، اسے ہماری زندگی کا مرکز بنایا جاسکتا ہے۔ ہم اس کو حاصل کرتے رہیں اور اپنے مقاصد کو حاصل کیے۔ #موٹیویشن #جنگی_لذت.""",post_edited_ai,llama-3.1-8b-instant,سوشل میڈیا پوسٹ لکھیں موٹیویشن کے بارے میں,Social Media,ur,heavy,128,2026-01-29T09:31:03.320140,v1.0
3446a0ba-aad0-4d8d-b979-632a94124e28,"Estimado Gerente

Quiero solicitar permiso la próxima semana. Necesito tres días de permiso por trabajo personal. Por favor acepte mi solicitud.

Gracias
Juan",human,Human,,Email,es,none,23,2026-01-29T08:38:18.271412,v1.0
67560e36-b68a-41aa-baa6-f00b781a15e6,"هذا المنتج مصمم ليكون ذو قيمة فنية عالية، حيث يجمع بين الابتكار الفني والجماليات الرائعة. هذا المنتج يبهر بالعين المجردة، حيث يحتوي على عناصر فنية مميزة تبرزها جمالته.

المنتج هو:

- مصنوع من مواد فنية عالية الجودة مثل المعدن المصبوب أو الفيروز.
- يحتوي على تفاصيل فنية متقنة مثل الزخارف الديناميكية أو الأشكال الهندسية.
- يأتي في نماذج مختلفة من التصميم واللون، مما يوفر خيارات كثيرة للعملاء.
- يعتبر ذا قيمة فنية عالية، حيث يمكن أن يشكل قطعة فنية مميزة في أي إطلالة أو مجموعة.

الجمالية:

- يحتوي على تفاصيل فنية متقنة تبرز جمالته.
- مصمم ليكون ذو تأثير فني قوي، حيث يمكن أن يعبر عن الفكر أو الثقافة أو الفن الجمالي.
- يمكن تخصيصه وفقاً لمواصفات العملاء، مما يزيد من قيمته الفنية.
- يعتبر قطعة فنية مميزة في أي مجموعة أو إطلالة، حيث يمكن أن يشكل الجزء الأرفع من أي مكان.

الاستخدام:

- يمكن استخدام المنتج في الغرف الفنية أو الحدائق العامة.
- يعمل كقطعة فنية مميزة في أي مجموعة أو إطلالة.
- يمكن تخصيصه وفقاً لمواصفات العملاء، مما يزيد من قيمته الفنية.
- يعتبر ذا قيمة فنية عالية، حيث يمكن أن يشكل قطعة فنية مميزة في أي إطلالة أو مجموعة.

تتميز هذه المنتجات بفكرة تصميم مبتكرة، حيث تجعل من الممكن إنشاء قطع فنية مميزة في أي مكان. تعزز قيمة الفن الجمالي في الأماكن العامة والخاصة، حيث يمكن أن تشكل القاعدة الرفيعة للتصميمات الهندسية المتقدمة التي تبرز أهمية التعبير الفني في الحضارة.",ai,llama-3.1-8b-instant,وصف المنتج الإبداعي,Marketing,ar,none,233,2026-01-29T08:47:49.005387,v1.0
fb4feaf1-5098-436a-affc-1112d8347106,"Dear Manager

Main agle week chutti ke liye request karna chahta hoon . Personal kaam ki wajah se mujhe teen din ki chutti chahiye . Please meri request accept karen .

Thanks
Rahul",human,Human,,Email,code-mixed,none,33,2026-01-29T08:38:18.291260,v1.0
7bdfb87a-59a4-43ab-80f5-745d7222cb64,machine learning is becoming really popular these days. its basically teaching computers to learn from data without being explicitly programmed. there are different types like supervised learning unsupervised learning and reinforcement learning. neural networks are really cool and can solve complex problems. you need to know some math and programming to get started. python is the best language for ml. libraries like tensorflow and pytorch make it easier.,human,Human,,Technical Blog,en,none,68,2026-01-29T08:38:18.218098,v1.0
981b97e8-7b86-47e9-b054-ea71b4369c08,"El aprendizaje automático (Machine Learning, ML) es una rama de la inteligencia artificial que se enfoca en el desarrollo de algoritmos y modelos capaces de aprender y mejorar su desempeño con la experiencia y la exposición a nuevos datos. A continuación, se presentan algunos de los fundamentos clave del aprendizaje automático:

**1. Tipos de aprendizaje:**

- **Aprendizaje supervisado**: El sistema aprende de un conjunto de datos etiquetados, donde cada dato tiene una etiqueta correspondiente.
- **Aprendizaje no supervisado**: El sistema aprende de un conjunto de datos sin etiquetas específicas.
- **Aprendizaje por refuerzo**: El sistema aprende a tomar decisiones que maximizan una recompensa o minimizan una penalización.

**2. Entrenamiento y evaluación:**

- **Entrenamiento**: El sistema se entrena con un conjunto de datos con el fin de aprender una relación entre las variables.
- **Evaluación**: Se evalúa el desempeño del sistema en un conjunto de datos de prueba para medir su precisión y capacidad para generalizar.

**3. Algoritmos de aprendizaje automático:**

- **Regresión lineal**: un algoritmo de aprendizaje supervisado que aprende una recta que predice la salida en función de las entradas.
- **Clasificación**: un algoritmo de aprendizaje supervisado que predice una etiqueta para una entrada.
- **Redes neuronales**: un tipo de algoritmo que imita el funcionamiento del cerebro humano.
- **Árboles de decisión**: un algoritmo de aprendizaje supervisado que predice una salida en función de las entradas.

**4. Tipos de datos:**

- **Datos numéricos**: los datos pueden ser de tipo entero, flotante, etc.
- **Datos categóricos**: los datos pueden ser de tipo string, booleano, etc.
- **Datos de texto**: los datos pueden ser de tipo texto, imágenes, etc.

**5. Problemas de aprendizaje automático:**

- **Problemas de clasificación**: el sistema debe asignar una etiqueta a una entrada.
- **Problemas de regresión**: el sistema debe estimar una salida en función de las entradas.
- **Problemas de agrupamiento**: el sistema debe identificar patrones o grupos en los datos.

**6. Hiperparámetros:**

- **Hiperparámetros**: parámetros que se ajustan durante el entrenamiento del modelo para mejorar su desempeño.
- **Técnicas de búsqueda de hiperparámetros**: se busca la combinación óptima de hiperparámetros que maximiza el desempeño del modelo.

**7. Medidas de desempeño:**

- **Precisión**: la relación entre las predicciones correctas y totales.
- **F1-score**: una medida de la precisión y la precisión del modelo.
- **Curva ROC**: una representación gráfica del desempeño del modelo.

En resumen, el aprendizaje automático es una herramienta poderosa para analizar y aprender de grandes conjuntos de datos. Se enfoca en aprender patrones y relaciones en los datos a través de algoritmos y técnicas de entrenamiento y evaluación.",ai,llama-3.1-8b-instant,Fundamentos del aprendizaje automático,Technical Blog,es,none,425,2026-01-29T08:46:16.305555,v1.0
5533dfae-e642-4f96-bcf9-974276945bbe,"ایک نوکری کی درخواست کے لیے ای میل لکھتے وقت، آپ کے پاس کچھ معلومات ہونی چاہیئے، جیسے:

* اپنا نام
* اپنا عنوان (جیسے ""نوکری کے لیے درخواست"")
* نوکری کی جگہ (جیسے ""کالمنٹر اور ایکسیڈنٹ انسپکٹر کے لیے"")
* آپ کی سوچ (جیسے ""آپ کے لیے ایک اہم ذمہ داری ہو گی"")
* آپ کی تعلیم، تجربہ اور کوانیفائیڈیشن
* آپ کے لیے مطلوبہ دستاویزات
* آپ کی درخواست کی وجہ

 یہ ای میل ایک مثال ہے:

بیتولہ بیگم
22 ستمبر، 2023 کو

[نوکری کی جگہ کا نام]
[نوکری کی جگہ کا خط]
[شہر، دیس]

مہربانی ہو،

میں بیتولہ بیگم آپ کی طرف سے کالمینٹر اور ایکسیڈنٹ انسپکٹر کی ناکری کی درخواست لکھتی ہوں۔ میں ایک ہسنسٹ کے طور پر تین سال سے کم تجربہ رکھتی ہوں اور میں نے اپنا گریجوایشن ڈگری 5 سالا مہارت سے پاس کیا ہے۔ میں آپ کو یقین دہانی کرتا ہوں کہ میں آپ کی اہم ذمہ داری کے ساتھ سرگرم عمل ہوں۔

میں کوآرڈینیٹس وائزہر میں ناکری کے لیے تیار ہوں۔ مجھے مطلوبہ دستاویزات میں ڈیلیور سروس کی رپورٹ اور مین ایجریٹنگ کی رپورٹ شامل ہیں۔

اس لیے ، میں ناکری کی ناکری کے لیے درخواست پیش کرتا ہوں۔ اگر آپ کو کوئی ناکری کے لیے درخواست دینے میں مشکل آتی ہے تو، میں آپ کو واٹس ایاپ وچ میں ملاقات کی دعوت دیتا ہوں۔

میں ناکری کی ناکری کے لیے آپ کو شکریہ ادا کرتا ہوں۔

مہربانی ہو،

بیتولہ بیگم

نہٹھٹ۔
نکلاہٹ۔",ai,llama-3.1-8b-instant,نوکری کی درخواست کے لیے ای میل لکھیں,Email,ur,none,242,2026-01-29T08:47:00.311047,v1.0
9ff8234d-c904-483f-ba9f-b8926e16925f,"Photosynthesis is how plants make food using sunlight. They take in carbon dioxide and water, then with the help of chlorophyll they create glucose and oxygen. This process happens in the leaves. The oxygen is released into the air which we breathe. So basically plants are really important for life on earth. Without them we wouldnt have oxygen. I learned this in biology class last week and found it fascinating. Its amazing how nature works!",human,Human,,Education,en,none,75,2026-01-29T08:38:18.219546,v1.0
9fbf31c3-c8d6-4c5f-b810-9ea5ef66b717,"""It's okay to not be okay. Let's break the silence surrounding mental health and create a supportive community that encourages open conversations, understanding, and love. If you're struggling, know that you're not alone and there is help available. Reach out to a trusted friend, family member, or mental health professional for support. Your mental well-being is just as important as your physical health. #MentalHealthAwareness #BreakTheSilence #YouAreNotAlone""",ai,llama-3.1-8b-instant,Create an Instagram caption about mental health awareness,Social Media,en,none,66,2026-01-29T08:51:13.789119,v1.0
bf3bc37e-be18-47fc-90c9-d3eaf42d1753,"Estimado Gerente de Contratación

Escribo para solicitar el puesto en su empresa . Tengo tres años de experiencia . Soy trabajador y estoy listo para aprender . Por favor vea mi currículum adjunto .

Gracias
Carlos",human,Human,,Email,es,none,36,2026-01-29T08:38:18.271252,v1.0
2bc6fd58-df92-4bfc-8b9f-3308abe95fe8,Error: 400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions.,post_edited_ai,gemma2-9b-it,تقرير عن الابتكارات العلمية,News,ar,light,9,2026-01-29T09:41:22.573395,v1.0
2e3110ba-c8e3-438c-916f-a89464b13a24,Error: 404 Client Error: Not Found for url: https://api.groq.com/openai/v1/chat/completions.,post_edited_ai,gemma2-9b-itllama-3.3-70b-versatile,Artículo profesional de LinkedIn,Social Media,es,light,9,2026-01-29T09:49:50.085462,v1.0
007bad83-e5f8-48f8-b068-1809ee078f61,Just finished reading an amazing book! Totally changed my perspective on life. Highly recommend it to everyone. What are you reading these days? Drop your recommendations below 👇 #BookLovers #Reading,human,Human,,Social Media,en,none,30,2026-01-29T08:38:18.218644,v1.0
745d1ee3-20e5-46bb-bb6f-adba272bc881,"In William Shakespeare's tragic play, Macbeth, symbolism plays a crucial role in exploring the themes of ambition, power, guilt, and the destruction of humanity. Through various symbols, Shakespeare conveys the consequences of unchecked ambition and the devastating effects of sin.

**The Dagger**

The dagger symbolizes the inner turmoil and guilt that plagues Macbeth. When Macbeth sees the dagger floating before him, it represents the internal conflict that drives him to commit the murder. The dagger also serves as a metaphor for the voices of Macbeth's conscience and the temptation of darkness. This symbol highlights the struggle between Macbeth's rational mind and the influence of the supernatural forces that propel him towards destruction.

**Blood and Red Imagery**

Blood and red imagery pervade the play, symbolizing the violence, murder, and guilt that Macbeth is unable to escape. The red-handled dagger, Lady Macbeth's bloody hands, and the blood-soaked chamber pot all serve as reminders of the consequences of Macbeth's actions. The repetition of blood imagery creates a sense of claustrophobia, emphasizing the inescapable nature of guilt.

**The Weeping Willow, Birnam Wood, and the Cowl of the Apparition**

In Act 4, Scene 1, Macbeth sees an apparition that predicts his victory but also warns him of impending doom. The cowl of the apparition is compared to Birnam Wood, which comes to represent the advancing army of Malcolm. This symbol suggests that Macbeth's downfall is imminent, and his enemies are approaching from the wood, much like his guilt and paranoia.

The weeping willow, which appears in Scene 7 of Act 3, serves as a symbol of Macbeth's grief and guilt. The willow's branches are described as withering and dying, echoing the decline of Macbeth's moral and intellectual faculties. This symbol highlights the destructive power of guilt and the corrosive effects of unchecked ambition.

**The Crown**

The crown, worn by Macbeth and later by Malcolm, serves as a symbol of power and sovereignty. However, the crown also represents the corrupting influence of power, as Macbeth becomes increasingly tyrannical and paranoid. The crown is eventually lost to Malcolm, symbolizing the restoration of justice and the downfall of Macbeth's tyrannical regime.

**Light and Dark Imagery**

Light and dark imagery are used to contrast the moral and spiritual states of the characters. Macbeth's increasing darkness and guilt are mirrored by the growing light that represents justice, morality, and redemption. The entrance of the witches, who embody the supernatural forces of fate, marks a shift from light to darkness, foreshadowing the chaos and destruction that follows.

**The Cauldron and Witches' Brew**

The cauldron and witches' brew represent the supernatural forces that drive the plot and dictate the fate of the characters. The cauldron serves as a symbol of Macbeth's descent into madness and corruption, as he becomes increasingly entangled in the web of fate. The witches' brew is a metaphor for the chaos and destruction that ensues from Macbeth's actions, highlighting the unpredictability and randomness of fate.

**Conclusion**

In Macbeth, Shakespeare uses symbolism to explore the complex and often contradictory nature of human experience. Through symbols, Shakespeare conveys the devastating consequences of unchecked ambition, guilt, and the destruction of humanity. The play's rich symbolism offers a nuanced and multifaceted exploration of human nature, inviting audiences to reflect on the consequences of their actions and the destructive power of unchecked ambition.",ai,llama-3.1-8b-instant,Write an analysis of Shakespeare's use of symbolism in Macbeth,Education,en,none,550,2026-01-29T08:48:45.421129,v1.0
93c2888d-e255-43d3-a9df-a1ea2f7f5d78,Error: 400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions Just my thoughts on this.,post_edited_ai,gemma2-9b-it,प्रेरणादायक सोशल मीडिया पोस्ट लिखें,Social Media,hi,heavy,14,2026-01-29T09:40:41.974928,v1.0
8d8a47ff-355c-4c0f-a194-6679ac00ee4c,"aquí tiene una serie de تويترات عن النجاح:

**تويتر 1/6**
 النجاح: لم يُحدد قط وقت أو موعد معين لتحقيقه! يُعتبر النجاح كل يوم، كل ساعة، كل دقيقة. #نجاح #تطوير #تحقيق_الاهداف

**تويتر 2/6**
 لا يوجد علاج للفشل، ولكن يوجد علاج للابتعاد عن الخوف. لا تخف من الفشل، بل استخدمه sebagai فرصة للتعلم والنمو. #نجاح #التحفيز #العزيمة

**تويتر 3/6**
 لا تُحصره صعوبات الحياة في تصورك! فالحياة الكريمة لا تُصنع إلا من خلال تحقيق الأهداف. ابدأ اليوم بتصورك للنجاح. #نجاح #التحفيز #الهدف

**تويتر 4/6**
 النجاح لا يتعلق بالتفوق على الآخرين، ولكن بالتطوير الذاتي. ابدأ اليوم بمعرفة ما يُجعل منك أفضل شخص. #نجاح #التطوير #الاعتماد_على_النفس

**تويتر 5/6**
 لا يوجد صعوبات كبيرة في الحياة، ولكن يوجد صعوبات صغيرة التي يُؤخرنا من تحقيق أهدافنا. ابدأ اليوم بتفكيرك في حل كل صغيرة. #نجاح #التحفيز #التغيير

**تويتر 6/6**
 النجاح هو النتيجة التي نستطيع الوصول إليها عندما نُؤمن بنفسه. ابدأ اليوم بتشجيع نفسك على تحقيق أهدافك. #نجاح #التشجيع #الاستدامة",ai,llama-3.1-8b-instant,أنشئ سلسلة تويتر عن النجاح,Social Media,ar,none,150,2026-01-29T08:40:06.646490,v1.0
5c3d20e2-34f6-49b6-8f0e-4123736821eb,"أساسيات التعلم الآلي هي مجموعة من المبادئ والتقنيات التي تتيح لنسخ الماكينة أو الكومبيوتر التعلم من البيانات الموجودة ووضعها في نموذج يمكنه تكرارها وتطبيقها في حالات جديدة. هذا المجال يجمع بين علم التطور الحاسوبي، الرياضيات، والهندسة الكهربائية لتحقيق أقصى قدر من الذكاء.

### النماذج الأساسية

- **الموديل التحتوي ( Supervised Learning )**: هو النوع الذي يتعلم الكمبيوتر من البيانات الموجودة التي تم إعادة ترتيبها (تحديد البيانات) ، والذي يُستخدم للتعليم من خلاله.
- **الموديل المتطوع ( Unsupervised Learning )**: هو النوع الذي يعمل كمبيوتر بمنهج تلقائي من خلال البيانات الموجودة دون إعادة ترتيبها (تحديد البيانات) ويُستخدم للتعلم من البيانات بشكل تلقائي.
- **الموديل العشوائي ( Semi-supervised Learning )**: هو النوع الذي ينتظر كمبيوتر تعليمه من خلال البيانات الموجودة مع إعادة ترتيبها جزئيًا (تحديد البيانات).
- **الموديل المُعلم ( Reinforcement Learning )**: هو النوع الذي يتعلم الكمبيوتر من خلال تجارب يتعامل معها بشكل متكرر ويعمل على تحسينها.",ai,llama-3.1-8b-instant,أساسيات التعلم الآلي,Technical Blog,ar,none,146,2026-01-29T08:48:38.871896,v1.0
9e1e1595-a6af-4a6b-bc29-aa84a787cff2,"**FORMATO OFICIAL DE CARTA DE RENUNCIA**

[Aquí va el nombre y el cargo del empleado]
[NOMBRE DEL EMPLEADO]
[DIRECCIÓN DEL EMPLEADO]
[Ciudad, Estado, Código Postal]
[Teléfono de contacto]
[Correo electrónico]

[Fecha]

A [Nombre del superior o entidad]
[Título del superior o entidad]
[Nombre de la empresa o institución]

Me dirijo a usted para informarle que, con efecto inmediato, estoy renunciando a mi cargo de [nombre y cargo del empleado] en [nombre de la empresa o institución]. Esta decisión se toma con la finalidad de [opcional: razón por la que se renuncia].

Me comprometo a cumplir mis obligaciones actuales hasta el final de mi contrato, que se establece en [fecha final del contrato] según el acuerdo contrato n.º [número del contrato]. Sin embargo, si es necesario, estaré disponible para realizar cualquier actividad de transición durante el período de [plazo para la transición] días.

Le agradezco a la empresa por la oportunidad que me ha brindado de trabajar en este equipo y espero que el futuro de la empresa sea exitoso.

Atentamente,

[Firma del empleado]

**RECOMENDACIONES**

- Asegúrate de verificar los términos de tu contrato para determinar si hay alguna limitación o notificación requerida antes de presentar tu renuncia.
- Asegúrate de entregar la carta de renuncia a tu gestor o supervisor en persona o mediante correo electrónico, según sea posible.
- Mantén una copia de la carta de renuncia para tu archivo.
- Puede ser beneficioso discutir con tu superior posibles disposiciones para tu traslado o el manejo de las responsabilidades que tendrán que asumir en tu partida. 

Si tienes alguna pregunta o necesitas asesoramiento adicional, no dudes en preguntar.",ai,llama-3.1-8b-instant,Carta de renuncia,Email,es,none,269,2026-01-29T08:48:12.645525,v1.0
4aae25d8-e395-428b-afa3-87bc3c393c4a,Aaj ka din bahut acha tha! Friends ke saath time spend kiya aur maza aaya. Life mein choti khushiyon ki kadar karni chahiye. #Life #Friends #Happiness,human,Human,,Social Media,code-mixed,none,26,2026-01-29T08:38:18.290771,v1.0
